CASE_ENQUIRY_ID,open_dt,target_dt,closed_dt,OnTime_Status,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,Fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Latitude,Longitude,Source
101002306662,1/8/18 0:02,1/9/18 8:30,,ONTIME,Open, ,Parking Enforcement,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,BTDT_Parking Enforcement,BTDT,https://311.boston.gov/media/boston/report/photos/5a52fb4704850018608a7286/photo_20180108_000151.jpg,,18 Sunset St  Mission Hill  MA  02120,9,10A,8,B2,Mission Hill,14,Ward 10,1004,18 Sunset St,2120,42.3312,-71.1085,Citizens Connect App
101002306661,1/7/18 23:53,1/9/18 23:53,,ONTIME,Open, ,Unshoveled Sidewalk,Public Works Department,Code Enforcement,Unshoveled Sidewalk,PWDx_Code Enforcement,PWDx,,,6 Edgerly Rd  Boston  MA  02115,4,10A,7,D4,Boston,14,4,406,6 Edgerly Rd,2115,42.3462,-71.0879,Citizens Connect App
101002306659,1/7/18 23:34,1/9/18 23:34,,ONTIME,Open, ,Unshoveled Sidewalk,Public Works Department,Code Enforcement,Unshoveled Sidewalk,PWDx_Code Enforcement,PWDx,https://311.boston.gov/media/boston/report/photos/5a52f4d404850018608a7269/photo_20180107_233407.jpg,,INTERSECTION of Warren Ave & Constitution Rd  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,2,201,INTERSECTION Warren Ave & Constitution Rd,,42.3594,-71.0587,Citizens Connect App
101002306658,1/7/18 23:32,1/9/18 23:32,,ONTIME,Open, ,Unshoveled Sidewalk,Public Works Department,Code Enforcement,Unshoveled Sidewalk,PWDx_Code Enforcement,PWDx,https://311.boston.gov/media/boston/report/photos/5a52f46e04850018608a7260/photo_20180107_233211.jpg,,INTERSECTION of Constitution Plz & Constitution Rd  Charlestown  MA  ,3,1A,1,A15,Charlestown,2,2,201,INTERSECTION Constitution Plz & Constitution Rd,,42.3594,-71.0587,Citizens Connect App
101002306655,1/7/18 23:25,1/9/18 8:30,,ONTIME,Open, ,Parking Enforcement,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,BTDT_Parking Enforcement,BTDT,https://311.boston.gov/media/boston/report/photos/5a52f2a304850018608a724c/photo_20180107_232353.jpg,,140 D St  South Boston  MA  02127,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,602,140 D St,2127,42.3361,-71.0542,Citizens Connect App
101002306653,1/7/18 23:22,1/9/18 23:22,,ONTIME,Open, ,Unshoveled Sidewalk,Public Works Department,Code Enforcement,Unshoveled Sidewalk,PWDx_Code Enforcement,PWDx,,,90 Brookway Rd  Roslindale  MA  02131,12,2,5,E5,Roslindale,10,Ward 19,1911,90 Brookway Rd,2131,42.2931,-71.1191,Citizens Connect App
101002306652,1/7/18 23:21,1/10/18 8:30,,ONTIME,Open, ,Request for Snow Plowing,Public Works Department,Street Cleaning,Request for Snow Plowing,PWDx_District 1C: Downtown,PWDx,https://311.boston.gov/media/boston/report/photos/5a52f1bc04850018608a722b/report.jpg,,466-474 Atlantic Ave  Boston  MA  02110,6,1C,1,A1,Downtown / Financial District,3,Ward 3,306,466-474 Atlantic Ave,2110,42.3544,-71.0516,Citizens Connect App
101002306650,1/7/18 23:19,1/10/18 8:30,,ONTIME,Open, ,Request for Snow Plowing,Public Works Department,Street Cleaning,Request for Snow Plowing,PWDx_District 1C: Downtown,PWDx,https://311.boston.gov/media/boston/report/photos/5a52f15e04850018608a7218/report.jpg,,INTERSECTION of Pearl St & Interstate 93 S  Boston  MA  ,6,1C,2,A1,Downtown / Financial District,3,3,306,INTERSECTION Pearl St & Interstate 93 S,,42.3594,-71.0587,Citizens Connect App
101002306649,1/7/18 23:16,2/6/18 23:16,,ONTIME,Open, ,Heat - Excessive  Insufficient,Inspectional Services,Housing,Heat - Excessive  Insufficient,ISD_Housing (INTERNAL),ISD,,,61 Walnut Park  Roxbury  MA  02119,9,10B,7,E13,Roxbury,11,Ward 11,1105,61 Walnut Park,2119,42.3148,-71.0957,Constituent Call
101002306648,1/7/18 23:13,1/9/18 23:13,,ONTIME,Open, ,Unshoveled Sidewalk,Public Works Department,Code Enforcement,Unshoveled Sidewalk,PWDx_Code Enforcement,PWDx,,,225 M St  South Boston  MA  02127,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 7,701,225 M St,2127,42.3306,-71.0334,Citizens Connect App
